Balance,churn_probability,flagged_for_outreach,expected_value_at_risk
202443.47,0.95867646,1,194077.78864439367
176845.41,0.9969241,1,176301.45161125125
185513.67,0.917812,1,170266.670594877
194532.66,0.8702454,1,169291.15194885136
169406.33,0.9993197,1,169291.07822934745
162082.31,0.9994184,1,161988.03934264064
168286.81,0.9602342,1,161594.7545437914
152367.21,0.99524224,1,151642.2830850327
199229.14,0.75916576,1,151247.94225027086
152581.06,0.9825441,1,149917.6239559829
148507.24,0.9873563,1,146629.55977032182
151933.63,0.9607246,1,145966.37472456216
178144.91,0.81374437,1,144964.41687417924
144976.5,0.98803616,1,143242.02372694016
201696.07,0.70333356,1,141859.6142758447
139493.25,0.9997868,1,139463.5092280358
137755.76,0.9932836,1,136830.541265955
175735.5,0.769675,1,135259.22384512424
140549.4,0.9613374,1,135115.39301937819
134950.19,0.999456,1,134876.77553218068
